disk- -------------------reads------------------- -------------------writes------------------ ------IO------- -----timestamp-----
          total    merged     sectors          ms     total    merged     sectors          ms     cur     sec                 CST
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:48:31
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:48:31
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:48:31
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:48:31
nvme0n1       631         0       67492         796    249876         0    36271497      174095       0     116 2025-11-13 15:48:31
nvme1n1       682         0       76400         354    259430         0    36271497       81639       0      61 2025-11-13 15:48:31
nvme2n1      1432         0      266274         276    600650         0   105463882       55509       0      41 2025-11-13 15:48:31
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:48:31
nvme4n1    786979    195320   116463351      204930  13734696   5844099   342646700    12871567       0    4221 2025-11-13 15:48:31
nvme3n1      1437         0      273306         385    591219         0   105463882       67484       0      42 2025-11-13 15:48:31
nvme9n1    132692         0    16476880       81397  24309220         0   637881982    11906802       0   10492 2025-11-13 15:48:31
nvme8n1    129696         0    16069286      116606  24150451         0   637881982    14341830       0   12130 2025-11-13 15:48:31
nvme7n1    122253         0    15857792       85208  31657860         0   791173626    17771365       0   15476 2025-11-13 15:48:31
nvme6n1    118617         0    15716068       78535  30883848         0   791173626    31734826       0   21397 2025-11-13 15:48:31
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:48:36
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:48:36
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:48:36
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:48:36
nvme0n1       631         0       67492         796    250019         0    36282199      174213       0     116 2025-11-13 15:48:36
nvme1n1       682         0       76400         354    259572         0    36282199       81703       0      62 2025-11-13 15:48:36
nvme2n1      1432         0      266274         276    600805         0   105479821       55538       0      41 2025-11-13 15:48:36
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:48:36
nvme4n1    786979    195320   116463351      204930  13734699   5844107   342646788    12871584       0    4221 2025-11-13 15:48:36
nvme3n1      1437         0      273306         385    591366         0   105479821       67514       0      42 2025-11-13 15:48:36
nvme9n1    132692         0    16476880       81397  24309220         0   637881982    11906802       0   10492 2025-11-13 15:48:36
nvme8n1    129696         0    16069286      116606  24150451         0   637881982    14341830       0   12130 2025-11-13 15:48:36
nvme7n1    122253         0    15857792       85208  31657860         0   791173626    17771365       0   15476 2025-11-13 15:48:36
nvme6n1    118617         0    15716068       78535  30883848         0   791173626    31734826       0   21397 2025-11-13 15:48:36
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:48:41
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:48:41
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:48:41
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:48:41
nvme0n1       631         0       67492         796    250175         0    36303867      174362       0     116 2025-11-13 15:48:41
nvme1n1       682         0       76400         354    259755         0    36303867       81762       0      62 2025-11-13 15:48:41
nvme2n1      1432         0      266274         276    601456         0   105596626       55588       0      41 2025-11-13 15:48:41
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:48:41
nvme4n1    786979    195320   116463351      204930  13734701   5844116   342646876    12871594       0    4221 2025-11-13 15:48:41
nvme3n1      1437         0      273306         385    591985         0   105596626       67578       0      42 2025-11-13 15:48:41
nvme9n1    132692         0    16476880       81397  24309220         0   637881982    11906802       0   10492 2025-11-13 15:48:41
nvme8n1    129696         0    16069286      116606  24150451         0   637881982    14341830       0   12130 2025-11-13 15:48:41
nvme7n1    122253         0    15857792       85208  31657860         0   791173626    17771365       0   15476 2025-11-13 15:48:41
nvme6n1    118617         0    15716068       78535  30883848         0   791173626    31734826       0   21397 2025-11-13 15:48:41
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:48:46
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:48:46
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:48:46
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:48:46
nvme0n1       631         0       67492         796    250299         0    36312713      174530       0     117 2025-11-13 15:48:46
nvme1n1       682         0       76400         354    259880         0    36312713       81800       0      62 2025-11-13 15:48:46
nvme2n1      1432         0      266274         276    601597         0   105606884       55613       0      41 2025-11-13 15:48:46
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:48:46
nvme4n1    786979    195320   116463351      204930  13734705   5844133   342647292    12871618       0    4221 2025-11-13 15:48:46
nvme3n1      1437         0      273306         385    592145         0   105606884       67612       0      42 2025-11-13 15:48:46
nvme9n1    132692         0    16476880       81397  24309322         0   637882705    11906815       0   10492 2025-11-13 15:48:46
nvme8n1    129696         0    16069286      116606  24150559         0   637882705    14341842       0   12130 2025-11-13 15:48:46
nvme7n1    122253         0    15857792       85208  31657998         0   791174891    17771378       0   15476 2025-11-13 15:48:46
nvme6n1    118617         0    15716068       78535  30883957         0   791174891    31734856       0   21397 2025-11-13 15:48:46
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:48:51
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:48:51
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:48:51
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:48:51
nvme0n1       631         0       67492         796    250530         0    36346705      174654       0     117 2025-11-13 15:48:51
nvme1n1       682         0       76400         354    260104         0    36346705       81878       0      62 2025-11-13 15:48:51
nvme2n1      1432         0      266274         276    602001         0   105674169       55665       0      41 2025-11-13 15:48:51
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:48:51
nvme4n1    786980    195320   116463359      204930  13735831   5844462   342796100    12871989       0    4221 2025-11-13 15:48:51
nvme3n1      1437         0      273306         385    592622         0   105674169       67637       0      42 2025-11-13 15:48:51
nvme9n1    132692         0    16476880       81397  24309408         0   637883418    11906827       0   10492 2025-11-13 15:48:51
nvme8n1    129696         0    16069286      116606  24150648         0   637883418    14341854       0   12130 2025-11-13 15:48:51
nvme7n1    122253         0    15857792       85208  31658132         0   791176152    17771391       0   15476 2025-11-13 15:48:51
nvme6n1    118617         0    15716068       78535  30884075         0   791176152    31734885       0   21397 2025-11-13 15:48:51
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:48:56
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:48:56
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:48:56
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:48:56
nvme0n1       631         0       67492         796    250704         0    36365272      174746       0     117 2025-11-13 15:48:56
nvme1n1       682         0       76400         354    260268         0    36365272       81922       0      62 2025-11-13 15:48:56
nvme2n1      1432         0      266274         276    602160         0   105690261       55692       0      41 2025-11-13 15:48:56
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:48:56
nvme4n1    786980    195320   116463359      204930  13735833   5844486   342796308    12871999       0    4221 2025-11-13 15:48:56
nvme3n1      1437         0      273306         385    592774         0   105690261       67698       0      42 2025-11-13 15:48:56
nvme9n1    132692         0    16476880       81397  24309490         0   637884220    11906840       0   10492 2025-11-13 15:48:56
nvme8n1    129696         0    16069286      116606  24150730         0   637884220    14341865       0   12130 2025-11-13 15:48:56
nvme7n1    122253         0    15857792       85208  31658238         0   791177084    17771404       0   15476 2025-11-13 15:48:56
nvme6n1    118617         0    15716068       78535  30884171         0   791177084    31734911       0   21397 2025-11-13 15:48:56
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:01
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:01
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:01
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:01
nvme0n1       631         0       67492         796    250803         0    36375384      174862       0     117 2025-11-13 15:49:01
nvme1n1       682         0       76400         354    260373         0    36375384       81947       0      62 2025-11-13 15:49:01
nvme2n1      1432         0      266274         276    602296         0   105699246       55716       0      41 2025-11-13 15:49:01
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:01
nvme4n1    786980    195320   116463359      204930  13735835   5844495   342796396    12872009       0    4221 2025-11-13 15:49:01
nvme3n1      1437         0      273306         385    592932         0   105699246       67731       0      42 2025-11-13 15:49:01
nvme9n1    132692         0    16476880       81397  24309579         0   637885160    11906852       0   10492 2025-11-13 15:49:01
nvme8n1    129696         0    16069286      116606  24150823         0   637885160    14341878       0   12130 2025-11-13 15:49:01
nvme7n1    122253         0    15857792       85208  31658372         0   791178552    17771417       0   15476 2025-11-13 15:49:01
nvme6n1    118617         0    15716068       78535  30884295         0   791178552    31734942       0   21397 2025-11-13 15:49:01
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:06
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:06
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:06
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:06
nvme0n1       631         0       67492         796    250886         0    36381282      174993       0     117 2025-11-13 15:49:06
nvme1n1       682         0       76400         354    260469         0    36381282       81978       0      62 2025-11-13 15:49:06
nvme2n1      1432         0      266274         276    602451         0   105709530       55742       0      41 2025-11-13 15:49:06
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:06
nvme4n1    786980    195320   116463359      204930  13735837   5844496   342796420    12872020       0    4221 2025-11-13 15:49:06
nvme3n1      1437         0      273306         385    593069         0   105709530       67778       0      42 2025-11-13 15:49:06
nvme9n1    132692         0    16476880       81397  24309579         0   637885160    11906852       0   10492 2025-11-13 15:49:06
nvme8n1    129696         0    16069286      116606  24150823         0   637885160    14341878       0   12130 2025-11-13 15:49:06
nvme7n1    122253         0    15857792       85208  31658372         0   791178552    17771417       0   15476 2025-11-13 15:49:06
nvme6n1    118617         0    15716068       78535  30884295         0   791178552    31734942       0   21397 2025-11-13 15:49:06
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:11
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:11
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:11
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:11
nvme0n1       631         0       67492         796    251136         0    36426966      175144       0     117 2025-11-13 15:49:11
nvme1n1       682         0       76400         354    260723         0    36426966       82058       0      62 2025-11-13 15:49:11
nvme2n1      1432         0      266274         276    602830         0   105784415       55784       0      41 2025-11-13 15:49:11
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:11
nvme4n1    786980    195320   116463359      204930  13735839   5844497   342796444    12872030       0    4221 2025-11-13 15:49:11
nvme3n1      1437         0      273306         385    593478         0   105784415       67818       0      42 2025-11-13 15:49:11
