timestamp,timerfc,device,GPU use (),GPU Memory Allocated (VRAM),GPU Memory Read/Write Activity (),Memory Activity,Avg. Memory Bandwidth
1763074402,2025-11-13 16:53:22-06:00,card0,1,0,0,N/A,0
1763074403,2025-11-13 16:53:23-06:00,card0,0,0,0,N/A,0
1763074404,2025-11-13 16:53:24-06:00,card0,0,0,0,N/A,0
1763074405,2025-11-13 16:53:25-06:00,card0,0,0,0,N/A,0
1763074406,2025-11-13 16:53:26-06:00,card0,0,0,0,N/A,0
1763074407,2025-11-13 16:53:27-06:00,card0,0,0,0,N/A,0
1763074408,2025-11-13 16:53:28-06:00,card0,0,0,0,N/A,0
1763074410,2025-11-13 16:53:30-06:00,card0,0,0,0,N/A,0
1763074411,2025-11-13 16:53:31-06:00,card0,0,0,0,N/A,0
1763074412,2025-11-13 16:53:32-06:00,card0,0,0,0,N/A,0
1763074413,2025-11-13 16:53:33-06:00,card0,0,0,0,N/A,0
1763074414,2025-11-13 16:53:34-06:00,card0,0,0,0,N/A,0
1763074415,2025-11-13 16:53:35-06:00,card0,0,0,0,N/A,0
1763074416,2025-11-13 16:53:36-06:00,card0,0,0,0,N/A,0
1763074417,2025-11-13 16:53:37-06:00,card0,0,0,0,N/A,0
1763074418,2025-11-13 16:53:38-06:00,card0,0,0,0,N/A,0
1763074420,2025-11-13 16:53:40-06:00,card0,0,0,0,N/A,0
1763074421,2025-11-13 16:53:41-06:00,card0,0,0,0,N/A,0
1763074422,2025-11-13 16:53:42-06:00,card0,0,0,0,N/A,0
1763074423,2025-11-13 16:53:43-06:00,card0,0,0,0,N/A,0
1763074424,2025-11-13 16:53:44-06:00,card0,0,0,0,N/A,0
1763074425,2025-11-13 16:53:45-06:00,card0,0,0,0,N/A,0
1763074426,2025-11-13 16:53:46-06:00,card0,0,0,0,N/A,0
1763074427,2025-11-13 16:53:47-06:00,card0,0,0,0,N/A,0
1763074428,2025-11-13 16:53:48-06:00,card0,0,0,0,N/A,0
1763074430,2025-11-13 16:53:50-06:00,card0,0,0,0,N/A,0
1763074431,2025-11-13 16:53:51-06:00,card0,0,0,0,N/A,0
1763074432,2025-11-13 16:53:52-06:00,card0,0,0,0,N/A,0
1763074433,2025-11-13 16:53:53-06:00,card0,0,0,0,N/A,0
1763074434,2025-11-13 16:53:54-06:00,card0,0,0,0,N/A,0
1763074435,2025-11-13 16:53:55-06:00,card0,0,0,0,N/A,0
1763074436,2025-11-13 16:53:56-06:00,card0,0,0,0,N/A,0
1763074437,2025-11-13 16:53:57-06:00,card0,0,0,0,N/A,0
1763074438,2025-11-13 16:53:58-06:00,card0,0,0,0,N/A,0
1763074439,2025-11-13 16:53:59-06:00,card0,0,0,0,N/A,0
1763074441,2025-11-13 16:54:01-06:00,card0,0,0,0,N/A,0
1763074442,2025-11-13 16:54:02-06:00,card0,0,0,0,N/A,0
1763074443,2025-11-13 16:54:03-06:00,card0,0,0,0,N/A,0
1763074444,2025-11-13 16:54:04-06:00,card0,0,0,0,N/A,0
1763074445,2025-11-13 16:54:05-06:00,card0,0,0,0,N/A,0
1763074446,2025-11-13 16:54:06-06:00,card0,0,0,0,N/A,0
1763074447,2025-11-13 16:54:07-06:00,card0,0,0,0,N/A,0
1763074448,2025-11-13 16:54:08-06:00,card0,0,0,0,N/A,0
1763074449,2025-11-13 16:54:09-06:00,card0,0,0,0,N/A,0
1763074450,2025-11-13 16:54:10-06:00,card0,0,0,0,N/A,0
1763074452,2025-11-13 16:54:12-06:00,card0,0,0,0,N/A,0
1763074453,2025-11-13 16:54:13-06:00,card0,0,0,0,N/A,0
1763074454,2025-11-13 16:54:14-06:00,card0,0,0,0,N/A,0
1763074455,2025-11-13 16:54:15-06:00,card0,0,0,0,N/A,0
1763074456,2025-11-13 16:54:16-06:00,card0,0,0,0,N/A,0
1763074457,2025-11-13 16:54:17-06:00,card0,0,0,0,N/A,0
1763074458,2025-11-13 16:54:18-06:00,card0,0,0,0,N/A,0
1763074459,2025-11-13 16:54:19-06:00,card0,0,0,0,N/A,0
1763074460,2025-11-13 16:54:20-06:00,card0,0,0,0,N/A,0
1763074462,2025-11-13 16:54:22-06:00,card0,0,0,0,N/A,0
1763074463,2025-11-13 16:54:23-06:00,card0,0,0,0,N/A,0
1763074464,2025-11-13 16:54:24-06:00,card0,0,0,0,N/A,0
1763074465,2025-11-13 16:54:25-06:00,card0,0,0,0,N/A,0
1763074466,2025-11-13 16:54:26-06:00,card0,0,0,0,N/A,0
1763074467,2025-11-13 16:54:27-06:00,card0,0,0,0,N/A,0
1763074468,2025-11-13 16:54:28-06:00,card0,0,0,0,N/A,0
1763074469,2025-11-13 16:54:29-06:00,card0,0,0,0,N/A,0
1763074470,2025-11-13 16:54:30-06:00,card0,0,0,0,N/A,0
1763074471,2025-11-13 16:54:31-06:00,card0,0,0,0,N/A,0
1763074473,2025-11-13 16:54:33-06:00,card0,0,0,0,N/A,0
1763074474,2025-11-13 16:54:34-06:00,card0,0,0,0,N/A,0
1763074475,2025-11-13 16:54:35-06:00,card0,0,0,0,N/A,0
1763074476,2025-11-13 16:54:36-06:00,card0,1,0,0,N/A,0
1763074477,2025-11-13 16:54:37-06:00,card0,0,0,0,N/A,0
1763074478,2025-11-13 16:54:38-06:00,card0,0,0,0,N/A,0
1763074479,2025-11-13 16:54:39-06:00,card0,0,0,0,N/A,0
1763074480,2025-11-13 16:54:40-06:00,card0,0,0,0,N/A,0
1763074481,2025-11-13 16:54:41-06:00,card0,0,0,0,N/A,0
1763074482,2025-11-13 16:54:42-06:00,card0,0,0,0,N/A,0
1763074484,2025-11-13 16:54:44-06:00,card0,0,0,0,N/A,0
1763074485,2025-11-13 16:54:45-06:00,card0,0,0,0,N/A,0
1763074486,2025-11-13 16:54:46-06:00,card0,0,0,0,N/A,0
1763074487,2025-11-13 16:54:47-06:00,card0,0,0,0,N/A,0
1763074488,2025-11-13 16:54:48-06:00,card0,0,0,0,N/A,0
1763074489,2025-11-13 16:54:49-06:00,card0,0,0,0,N/A,0
1763074490,2025-11-13 16:54:50-06:00,card0,0,0,0,N/A,0
1763074491,2025-11-13 16:54:51-06:00,card0,0,0,0,N/A,0
1763074492,2025-11-13 16:54:52-06:00,card0,0,0,0,N/A,0
1763074494,2025-11-13 16:54:54-06:00,card0,0,0,0,N/A,0
1763074495,2025-11-13 16:54:55-06:00,card0,0,0,0,N/A,0
1763074496,2025-11-13 16:54:56-06:00,card0,0,0,0,N/A,0
1763074497,2025-11-13 16:54:57-06:00,card0,0,0,0,N/A,0
1763074498,2025-11-13 16:54:58-06:00,card0,0,0,0,N/A,0
1763074499,2025-11-13 16:54:59-06:00,card0,0,0,0,N/A,0
1763074500,2025-11-13 16:55:00-06:00,card0,0,0,0,N/A,0
1763074501,2025-11-13 16:55:01-06:00,card0,0,0,0,N/A,0
1763074502,2025-11-13 16:55:02-06:00,card0,0,0,0,N/A,0
1763074503,2025-11-13 16:55:03-06:00,card0,0,0,0,N/A,0
1763074505,2025-11-13 16:55:05-06:00,card0,0,0,0,N/A,0
1763074506,2025-11-13 16:55:06-06:00,card0,0,0,0,N/A,0
