filename	java	args	replicate	date	time
benchmark_graalvm-java_89th_user_jvm_args.txt_run1_20251118_211840	graalvm-java	89th_user_jvm_args	1	20251118	211840
benchmark_graalvm-java_89th_user_jvm_args.txt_run2_20251118_214334	graalvm-java	89th_user_jvm_args	2	20251118	214334
benchmark_graalvm-java_89th_user_jvm_args.txt_run3_20251118_220329	graalvm-java	89th_user_jvm_args	3	20251118	220329
benchmark_graalvm-java_89th_user_jvm_args.txt_run4_20251118_222902	graalvm-java	89th_user_jvm_args	4	20251118	222902
benchmark_graalvm-java_89th_user_jvm_args.txt_run5_20251118_224920	graalvm-java	89th_user_jvm_args	5	20251118	224920
benchmark_graalvm-java_aikar_user_jvm_args.txt_run1_20251119_025209	graalvm-java	aikar_user_jvm_args	1	20251119	025209
benchmark_graalvm-java_aikar_user_jvm_args.txt_run2_20251119_031219	graalvm-java	aikar_user_jvm_args	2	20251119	031219
benchmark_graalvm-java_aikar_user_jvm_args.txt_run3_20251119_033732	graalvm-java	aikar_user_jvm_args	3	20251119	033732
benchmark_graalvm-java_aikar_user_jvm_args.txt_run4_20251119_035743	graalvm-java	aikar_user_jvm_args	4	20251119	035743
benchmark_graalvm-java_aikar_user_jvm_args.txt_run5_20251119_042241	graalvm-java	aikar_user_jvm_args	5	20251119	042241
benchmark_graalvm-java_atm_user_jvm_args.txt_run1_20251119_005826	graalvm-java	atm_user_jvm_args	1	20251119	005826
benchmark_graalvm-java_atm_user_jvm_args.txt_run2_20251119_012115	graalvm-java	atm_user_jvm_args	2	20251119	012115
benchmark_graalvm-java_atm_user_jvm_args.txt_run3_20251119_014427	graalvm-java	atm_user_jvm_args	3	20251119	014427
benchmark_graalvm-java_atm_user_jvm_args.txt_run4_20251119_020659	graalvm-java	atm_user_jvm_args	4	20251119	020659
benchmark_graalvm-java_atm_user_jvm_args.txt_run5_20251119_022936	graalvm-java	atm_user_jvm_args	5	20251119	022936
benchmark_graalvm-java_none_user_jvm_args.txt_run1_20251119_063036	graalvm-java	none_user_jvm_args	1	20251119	063036
benchmark_graalvm-java_none_user_jvm_args.txt_run2_20251119_065102	graalvm-java	none_user_jvm_args	2	20251119	065102
benchmark_graalvm-java_none_user_jvm_args.txt_run3_20251119_071210	graalvm-java	none_user_jvm_args	3	20251119	071210
benchmark_graalvm-java_none_user_jvm_args.txt_run4_20251119_073255	graalvm-java	none_user_jvm_args	4	20251119	073255
