r	b	swpd	free	buff	cache	si	so	bi	bo	in	cs	us	sy	id	wa	st	gu	CST
9	0	0	49985220	521764	152821852	0	0	62	1939	8411	1	1	0	99	0	0	0	2025-11-13 15:48:27
12	0	0	49914844	521772	152825536	0	0	0	14917	121676	255805	18	3	80	0	0	0	2025-11-13 15:48:32
30	0	0	49801420	521772	152826344	0	0	0	5335	146037	244022	18	1	81	0	0	0	2025-11-13 15:48:37
14	0	0	49771172	521776	152827160	0	0	0	27705	131101	217193	14	1	85	0	0	0	2025-11-13 15:48:42
14	0	0	49766160	521784	152827680	0	0	0	4258	112003	184070	11	1	88	0	0	0	2025-11-13 15:48:47
7	0	0	49423400	521832	152829672	0	0	1	35531	157189	260850	17	1	81	0	0	0	2025-11-13 15:48:52
6	0	0	49448068	521836	152829796	0	0	0	7299	110114	179513	10	1	89	0	0	0	2025-11-13 15:48:57
8	0	0	49414448	521844	152830136	0	0	0	4310	105751	178345	9	1	90	0	0	0	2025-11-13 15:49:02
6	0	0	49271708	521848	152830440	0	0	0	3239	110620	184460	11	1	88	0	0	0	2025-11-13 15:49:07
33	0	0	49230356	521852	152831124	0	0	0	24674	148755	255444	16	1	83	0	0	0	2025-11-13 15:49:12
12	0	0	49225456	521856	152831468	0	0	0	3263	105048	176817	9	1	91	0	0	0	2025-11-13 15:49:17
13	0	0	49416328	521860	152831808	0	0	0	2909	96604	161309	7	1	92	0	0	0	2025-11-13 15:49:22
18	0	0	49362188	521868	152839344	0	0	0	5284	100047	165426	8	1	91	0	0	0	2025-11-13 15:49:27
21	1	0	49371732	521868	152840376	0	0	0	1803	95782	157727	8	1	91	0	0	0	2025-11-13 15:49:32
10	0	0	49353396	521868	152840692	0	0	0	631	106655	176734	11	1	88	0	0	0	2025-11-13 15:49:37
22	0	0	49020988	521872	152841128	0	0	0	6234	117948	193143	13	1	86	0	0	0	2025-11-13 15:49:42
11	0	0	49096428	521880	152841836	0	0	0	10271	118944	196717	13	1	86	0	0	0	2025-11-13 15:49:47
16	0	0	48814768	521936	152843092	0	0	0	25126	119272	196982	11	1	88	0	0	0	2025-11-13 15:49:52
22	0	0	49076312	521944	152843596	0	0	0	9060	164464	272129	19	1	80	0	0	0	2025-11-13 15:49:57
74	0	0	48832220	521944	152846112	0	0	0	16423	161858	267216	40	2	59	0	0	0	2025-11-13 15:50:02
51	0	0	48373300	521944	152847600	0	0	0	71088	189630	315438	33	1	66	0	0	0	2025-11-13 15:50:07
58	0	0	48047264	521948	152850000	0	0	0	31193	169387	260170	44	2	55	0	0	0	2025-11-13 15:50:12
41	0	0	48129096	521956	152852232	0	0	0	59238	171457	281487	40	1	58	0	0	0	2025-11-13 15:50:17
26	0	0	47988996	521964	152853228	0	0	0	41217	145848	247448	20	1	79	0	0	0	2025-11-13 15:50:22
16	0	0	47878848	521972	152854008	0	0	0	10467	141577	233712	16	1	83	0	0	0	2025-11-13 15:50:27
6	0	0	47809576	521976	152856640	0	0	0	15141	176621	280009	31	1	68	0	0	0	2025-11-13 15:50:32
13	0	0	47792636	521980	152857064	0	0	0	39209	109973	183803	10	1	89	0	0	0	2025-11-13 15:50:37
10	0	0	47843080	521980	152857616	0	0	0	4237	107810	179503	10	1	89	0	0	0	2025-11-13 15:50:42
7	0	0	47761104	521980	152858084	0	0	0	5694	106314	176952	10	1	89	0	0	0	2025-11-13 15:50:47
13	0	0	47368688	522040	152859876	0	0	0	19645	131386	204615	27	1	72	0	0	0	2025-11-13 15:50:52
10	0	0	47549240	522044	152860036	0	0	0	7748	105723	174752	8	1	91	0	0	0	2025-11-13 15:50:57
10	0	0	47558328	522052	152860476	0	0	0	2259	108135	179634	10	1	89	0	0	0	2025-11-13 15:51:02
18	0	0	47186108	522052	152861072	0	0	0	3335	143784	245473	16	1	83	0	0	0	2025-11-13 15:51:07
10	0	0	47343884	522060	152861444	0	0	0	22327	108659	180445	10	1	89	0	0	0	2025-11-13 15:51:12
10	0	0	47224200	522068	152861920	0	0	0	5003	111285	184583	11	1	88	0	0	0	2025-11-13 15:51:17
29	0	0	47142344	522072	152862240	0	0	0	4458	107181	181807	9	1	90	0	0	0	2025-11-13 15:51:22
14	0	0	47176428	522080	152862716	0	0	0	11524	117904	197102	12	1	87	0	0	0	2025-11-13 15:51:27
20	0	0	47010108	522080	152866752	0	0	0	9801	141018	291152	21	3	77	0	0	0	2025-11-13 15:51:32
11	0	0	47535248	522080	152867196	0	0	0	20343	147876	259009	11	1	88	0	0	0	2025-11-13 15:51:37
22	0	0	47414912	522088	152867524	0	0	0	2536	103600	174573	8	1	92	0	0	0	2025-11-13 15:51:42
29	0	0	47222692	522092	152868212	0	0	0	6625	195185	350471	18	1	81	0	0	0	2025-11-13 15:51:47
27	0	0	47377580	522128	152623808	0	0	0	41862	162394	269775	21	1	78	0	0	0	2025-11-13 15:51:52
26	0	0	47363200	522164	152624888	0	0	0	32246	178459	299192	26	1	73	0	0	0	2025-11-13 15:51:57
33	0	0	47235640	522164	152626392	0	0	0	46643	184657	302121	34	1	65	0	0	0	2025-11-13 15:52:02
12	0	0	47273840	522172	152627528	0	0	0	26561	133924	225374	16	1	82	0	0	0	2025-11-13 15:52:07
12	0	0	47322776	522172	152627924	0	0	0	2061	98356	164737	7	1	93	0	0	0	2025-11-13 15:52:12
64	0	0	46931092	522176	152629064	0	0	0	14521	156878	246493	30	1	69	0	0	0	2025-11-13 15:52:17
43	0	0	47081404	522188	152630536	0	0	0	43238	200698	330491	35	1	64	0	0	0	2025-11-13 15:52:22
54	0	0	46813408	522192	152632748	0	0	0	55215	173873	278907	43	2	56	0	0	0	2025-11-13 15:52:27
11	0	0	46852524	522196	152635184	0	0	0	32171	152410	265934	27	1	72	0	0	0	2025-11-13 15:52:32
25	0	0	46838156	522200	152635840	0	0	0	9858	128033	213890	15	1	84	0	0	0	2025-11-13 15:52:37
15	0	0	46819428	522204	152636312	0	0	0	15321	150022	260973	15	1	84	0	0	0	2025-11-13 15:52:42
9	0	0	46786076	522212	152636928	0	0	0	10350	162372	294258	11	1	88	0	0	0	2025-11-13 15:52:47
24	0	0	46731268	522224	152637216	0	0	0	1723	110700	191860	8	1	91	0	0	0	2025-11-13 15:52:52
17	0	0	46632068	522276	152638288	0	0	0	3917	124945	214117	10	1	89	0	0	0	2025-11-13 15:52:57
19	0	0	46467164	522284	152638724	0	0	0	14649	120384	205653	11	1	88	0	0	0	2025-11-13 15:53:02
26	1	0	46416960	522288	152639184	0	0	0	14769	164376	292236	16	1	83	0	0	0	2025-11-13 15:53:07
16	0	0	46669244	522296	152640236	0	0	0	491	170316	299973	27	1	72	0	0	0	2025-11-13 15:53:12
8	0	0	46699500	522304	152640596	0	0	0	48628	107328	178410	9	1	90	0	0	0	2025-11-13 15:53:17
94	0	0	46270984	522308	152641324	0	0	0	3228	151917	249912	23	1	76	0	0	0	2025-11-13 15:53:22
14	0	0	46404760	522316	152642888	0	0	0	37192	186276	341990	31	1	67	0	0	0	2025-11-13 15:53:27
10	0	0	46545720	522320	152643944	0	0	0	26765	101694	167839	8	1	91	0	0	0	2025-11-13 15:53:32
6	0	0	46476212	522324	152644656	0	0	0	10381	98553	163492	8	1	92	0	0	0	2025-11-13 15:53:37
35	0	0	46440952	522328	152645108	0	0	0	3377	133236	221289	14	1	85	0	0	0	2025-11-13 15:53:42
6	0	0	46504912	522328	152646824	0	0	0	17724	153039	256651	31	1	68	0	0	0	2025-11-13 15:53:47
2	0	0	46412260	522332	152647472	0	0	4	41241	37128	66064	3	0	97	0	0	0	2025-11-13 15:53:52
2	0	0	46375232	522380	152648624	0	0	0	4098	27633	45888	0	1	99	0	0	0	2025-11-13 15:53:57
2	0	0	46365560	522380	152648672	0	0	0	647	21918	41029	0	0	100	0	0	0	2025-11-13 15:54:02
0	0	0	46390060	522384	152649016	0	0	0	582	24087	43305	0	0	100	0	0	0	2025-11-13 15:54:07
2	0	0	52545528	522388	149757148	0	0	0	1750	27040	45732	0	1	99	0	0	0	2025-11-13 15:54:12
0	0	0	78285088	522396	124022152	0	0	0	6861	24046	43852	0	1	99	0	0	0	2025-11-13 15:54:17
1	0	0	78294136	522400	124022456	0	0	0	153	21023	39421	0	0	100	0	0	0	2025-11-13 15:54:22
2	0	0	78302308	522404	124022716	0	0	0	542	21441	39977	0	0	100	0	0	0	2025-11-13 15:54:27
1	0	0	78301348	522412	124023752	0	0	0	629	23013	42458	0	0	99	0	0	0	2025-11-13 15:54:32
0	0	0	78308156	522412	124026924	0	0	0	169	35427	113141	7	2	91	0	0	0	2025-11-13 15:54:37
3	0	0	78305552	522412	124027216	0	0	0	536	22015	40882	0	0	99	0	0	0	2025-11-13 15:54:42
0	0	0	78309432	522420	124027472	0	0	0	233	21378	39774	0	0	99	0	0	0	2025-11-13 15:54:47
1	0	0	78313164	522424	124027788	0	0	0	571	21451	39891	0	0	99	0	0	0	2025-11-13 15:54:52
0	0	0	78262260	522472	124028176	0	0	6	1500	26500	43758	0	1	99	0	0	0	2025-11-13 15:54:57
1	0	0	78271648	522472	124028280	0	0	0	521	22042	41200	0	0	100	0	0	0	2025-11-13 15:55:02
1	0	0	78264056	522472	124028520	0	0	0	627	22306	40474	0	0	99	0	0	0	2025-11-13 15:55:07
2	0	0	78266380	522472	124028788	0	0	0	190	21812	40696	0	0	100	0	0	0	2025-11-13 15:55:12
0	0	0	78289284	522476	124029076	0	0	0	523	22865	42055	0	0	100	0	0	0	2025-11-13 15:55:17
1	0	0	78273128	522480	124029320	0	0	0	215	24493	44602	0	0	100	0	0	0	2025-11-13 15:55:22
0	0	0	78268608	522480	124029560	0	0	0	661	24929	44852	0	0	99	0	0	0	2025-11-13 15:55:27
2	0	0	78282292	522484	124029816	0	0	1	405	24269	44104	0	0	100	0	0	0	2025-11-13 15:55:32
0	0	0	78283216	522488	124030936	0	0	0	248	24037	43751	0	0	99	0	0	0	2025-11-13 15:55:37
1	0	0	78284044	522488	124031172	0	0	0	163	24164	44465	0	0	100	0	0	0	2025-11-13 15:55:42
0	0	0	78275112	522488	124031576	0	0	0	559	23415	42895	0	0	99	0	0	0	2025-11-13 15:55:47
0	0	0	78267144	522492	124031812	0	0	0	710	22957	42563	0	0	99	0	0	0	2025-11-13 15:55:52
0	0	0	78173340	522544	124032188	0	0	0	1115	27789	46668	0	0	99	0	0	0	2025-11-13 15:55:57
0	0	0	78252680	522548	124032356	0	0	0	644	23349	42896	0	0	99	0	0	0	2025-11-13 15:56:02
0	0	0	78271220	522548	124032632	0	0	0	221	23010	41761	0	0	99	0	0	0	2025-11-13 15:56:07
0	0	0	78267828	522552	124032872	0	0	0	741	22837	42422	0	0	100	0	0	0	2025-11-13 15:56:12
0	0	0	78265696	522560	124033224	0	0	1	2089	22611	42111	0	0	100	0	0	0	2025-11-13 15:56:17
2	0	0	78267432	522564	124033444	0	0	0	624	22671	42315	0	0	100	0	0	0	2025-11-13 15:56:22
2	0	0	78266576	522568	124033848	0	0	0	282	22965	42731	0	0	100	0	0	0	2025-11-13 15:56:27
1	0	0	78239472	522568	124034088	0	0	0	1311	21002	39769	0	0	100	0	0	0	2025-11-13 15:56:32
1	0	0	78290496	522568	124035132	0	0	0	572	21357	39974	0	0	100	0	0	0	2025-11-13 15:56:37
2	1	0	78291924	522572	124035424	0	0	0	415	21661	40934	0	0	100	0	0	0	2025-11-13 15:56:42
2	0	0	78289588	522576	124035724	0	0	0	587	21498	40011	0	0	100	0	0	0	2025-11-13 15:56:47
0	0	0	78289212	522576	124036008	0	0	0	546	23184	42850	0	0	99	0	0	0	2025-11-13 15:56:52
0	0	0	78177540	522632	124036492	0	0	0	1146	25945	44577	0	0	99	0	0	0	2025-11-13 15:56:57
1	0	0	78253308	522640	124036560	0	0	0	715	23824	42973	0	0	99	0	0	0	2025-11-13 15:57:02
0	0	0	78267100	522640	124036912	0	0	0	264	22911	41207	0	0	99	0	0	0	2025-11-13 15:57:07
0	0	0	78271800	522640	124037208	0	0	0	749	22528	41461	0	0	100	0	0	0	2025-11-13 15:57:12
0	0	0	78268544	522640	124037372	0	0	0	281	22233	41522	0	0	100	0	0	0	2025-11-13 15:57:17
1	0	0	78271768	522648	124037680	0	0	0	233	21715	40592	0	0	100	0	0	0	2025-11-13 15:57:22
2	0	0	78262044	522652	124037888	0	0	0	613	22221	41697	0	0	100	0	0	0	2025-11-13 15:57:27
0	0	0	78267176	522652	124038108	0	0	0	208	21146	39974	0	0	100	0	0	0	2025-11-13 15:57:32
1	0	0	78239564	522656	124041976	0	0	1	625	34788	112539	7	2	91	0	0	0	2025-11-13 15:57:37
1	0	0	78273500	522656	124042328	0	0	0	625	21596	40911	0	0	100	0	0	0	2025-11-13 15:57:42
0	0	0	78269380	522664	124042596	0	0	0	269	22171	41770	0	0	99	0	0	0	2025-11-13 15:57:47
0	0	0	78263532	522668	124042848	0	0	0	546	21899	41024	0	0	99	0	0	0	2025-11-13 15:57:52
1	0	0	78153224	522740	124043416	0	0	0	1147	25795	44050	0	0	99	0	0	0	2025-11-13 15:57:57
2	0	0	78226960	522748	124043548	0	0	0	618	24804	43675	0	0	99	0	0	0	2025-11-13 15:58:02
1	0	0	78235984	522756	124043856	0	0	0	654	25597	45176	0	0	99	0	0	0	2025-11-13 15:58:07
0	0	0	78242212	522764	124044160	0	0	2	634	25140	45663	0	0	99	0	0	0	2025-11-13 15:58:12
0	0	0	78240740	522768	124044404	0	0	0	2235	26738	48597	0	0	99	0	0	0	2025-11-13 15:58:17
0	0	0	78246624	522776	124044752	0	0	0	206	23245	43739	0	0	100	0	0	0	2025-11-13 15:58:22
0	0	0	78250544	522784	124045000	0	0	0	342	21941	41474	0	0	100	0	0	0	2025-11-13 15:58:27
1	0	0	78253196	522788	124045296	0	0	0	569	22014	41275	0	0	100	0	0	0	2025-11-13 15:58:32
1	0	0	78252492	522796	124046356	0	0	0	225	22731	43035	0	0	100	0	0	0	2025-11-13 15:58:37
1	0	0	78238372	522800	124046620	0	0	0	541	22960	42682	0	0	99	0	0	0	2025-11-13 15:58:42
1	0	0	78266424	522804	124046924	0	0	0	526	22915	42611	0	0	99	0	0	0	2025-11-13 15:58:47
0	0	0	78269048	522808	124047140	0	0	0	240	22189	41540	0	0	100	0	0	0	2025-11-13 15:58:52
0	0	0	78138888	522836	124047612	0	0	0	1077	25827	45079	0	0	99	0	0	0	2025-11-13 15:58:57
0	0	0	78243600	522844	124047844	0	0	0	653	23637	43110	0	0	100	0	0	0	2025-11-13 15:59:02
0	0	0	78260248	522852	124048108	0	0	0	545	24467	44226	0	0	100	0	0	0	2025-11-13 15:59:07
1	0	0	78261732	522852	124048344	0	0	0	595	22881	43020	0	0	100	0	0	0	2025-11-13 15:59:12
1	0	0	87125788	522852	123993192	0	0	21	406	22313	41031	0	0	99	0	0	0	2025-11-13 15:59:17
84	0	0	35878652	522860	123993292	0	0	1	181	45367	41856	0	27	73	0	0	0	2025-11-13 15:59:22
4	0	0	22305936	522864	123994680	0	0	0	356	53411	91011	5	8	87	0	0	0	2025-11-13 15:59:27
0	0	0	22917484	522836	123990888	0	0	0	626	25601	46034	1	0	99	0	0	0	2025-11-13 15:59:32
1	0	0	22944420	522840	123991932	0	0	0	170	22287	42463	0	0	100	0	0	0	2025-11-13 15:59:37
33	0	0	22678796	522020	123993128	0	0	0	712	39464	74221	4	1	95	0	0	0	2025-11-13 15:59:42
1	0	0	22750640	522028	123987560	0	0	0	306	40900	61647	5	0	95	0	0	0	2025-11-13 15:59:47
2	0	0	22703000	522036	123994148	0	0	0	569	28889	53918	1	0	99	0	0	0	2025-11-13 15:59:52
1	0	0	22491476	522072	123994820	0	0	256	1462	32996	56608	1	0	98	0	0	0	2025-11-13 15:59:57
1	0	0	22484012	522080	123994992	0	0	1	610	30040	54823	1	0	99	0	0	0	2025-11-13 16:00:02
13	0	0	22271612	520492	123987184	0	0	2	754	46953	80720	4	0	95	0	0	0	2025-11-13 16:00:07
1	0	0	22718068	520240	123987728	0	0	0	1213	34251	59889	7	0	92	0	0	0	2025-11-13 16:00:12
1	1	0	22718180	520240	123987568	0	0	0	22	21213	39925	0	0	99	0	0	0	2025-11-13 16:00:17
1	0	0	22698128	520248	123987836	0	0	0	146	21076	39583	0	0	100	0	0	0	2025-11-13 16:00:22
0	0	0	22703464	520248	123991016	0	0	0	246	35259	110857	7	2	91	0	0	0	2025-11-13 16:00:27
0	0	0	22705008	520252	123991316	0	0	0	242	21231	40427	0	0	100	0	0	0	2025-11-13 16:00:32
0	0	0	22704460	520252	123991572	0	0	0	751	22038	41399	0	0	100	0	0	0	2025-11-13 16:00:37
0	0	0	22722560	520252	123992632	0	0	0	578	21599	40412	0	0	99	0	0	0	2025-11-13 16:00:42
0	0	0	22705656	520256	123992868	0	0	0	217	20997	39503	0	0	99	0	0	0	2025-11-13 16:00:47
0	0	0	22738096	520256	123993144	0	0	0	505	21059	39718	0	0	100	0	0	0	2025-11-13 16:00:52
1	0	0	22720288	520304	123993428	0	0	0	1383	26639	44861	0	0	99	0	0	0	2025-11-13 16:00:57
0	0	0	22636084	520308	123993640	0	0	0	735	23069	42160	0	0	99	0	0	0	2025-11-13 16:01:02
0	0	0	22694304	520312	123993772	0	0	0	162	21912	40415	0	0	100	0	0	0	2025-11-13 16:01:07
2	0	0	22695476	520316	123994068	0	0	0	643	22224	41346	0	0	100	0	0	0	2025-11-13 16:01:12
0	0	0	22706900	520324	123994352	0	0	0	200	22013	41169	0	0	100	0	0	0	2025-11-13 16:01:17
0	0	0	22707536	520324	123994656	0	0	1	599	23072	43163	0	0	100	0	0	0	2025-11-13 16:01:22
0	0	0	22702364	520328	123995012	0	0	0	1272	25037	46532	0	0	100	0	0	0	2025-11-13 16:01:27
0	0	0	22714360	520336	123995232	0	0	0	242	22039	41869	0	0	100	0	0	0	2025-11-13 16:01:32
0	0	0	22700312	520336	123995536	0	0	0	176	21008	39413	0	0	99	0	0	0	2025-11-13 16:01:37
